zip,city,state
1010,Vienna,Vienna
1020,Vienna,Vienna
1030,Vienna,Vienna
1040,Vienna,Vienna
1050,Vienna,Vienna
1060,Vienna,Vienna
1070,Vienna,Vienna
1080,Vienna,Vienna
1090,Vienna,Vienna
1100,Vienna,Vienna
1110,Vienna,Vienna
1120,Vienna,Vienna
1130,Vienna,Vienna
1140,Vienna,Vienna
1140,Vienna,Vienna
1150,Vienna,Vienna
1160,Vienna,Vienna
1170,Vienna,Vienna
1180,Vienna,Vienna
1190,Vienna,Vienna
1200,Vienna,Vienna
1210,Vienna,Vienna
1210,Vienna,Vienna
1220,Vienna,Vienna
1230,Vienna,Vienna
1300,Vienna-Airport,Vienna
2000,Stockerau,Lower Austria
2002,Großmugl,Lower Austria
2003,Leitzersdorf,Lower Austria
2004,Niederhollabrunn,Lower Austria
2011,Sierndorf,Lower Austria
2013,Göllersdorf,Lower Austria
2014,Breitenwaida,Lower Austria
2020,Hollabrunn,Lower Austria
2022,Immendorf,Lower Austria
2023,Nappersdorf,Lower Austria
2024,Mailberg,Lower Austria
2031,Eggendorf im Thale,Lower Austria
2032, "Enzersdorf im Thale",Lower Austria
2033,Kammersdorf,Lower Austria
2034,Großharras,Lower Austria
2041,Wullersdorf,Lower Austria
2042,Guntersdorf,Lower Austria
2051,Zellerndorf,Lower Austria
2052,Pernersdorf-Pfaffendorf,Lower Austria
2053,Jetzelsdorf,Lower Austria
2054,Haugsdorf,Lower Austria
2061,Hadres,Lower Austria
2062,Seefeld-Großkadolz,Lower Austria
2063,Zwingendorf,Lower Austria
2064,Wulzeshofen,Lower Austria
2070,Retz,Lower Austria
2073,Schrattenthal,Lower Austria
2074,Unterretzbach,Lower Austria
2081,Niederfladnitz,Lower Austria
2082,Hardegg,Lower Austria
2083,Pleißing,Lower Austria
2084,Weitersfeld,Lower Austria
2091,Langau,Lower Austria
2092,Riegersburg,Lower Austria
2093,Geras,Lower Austria
2094,Zissersdorf,Lower Austria
2095,Drosendorf,Lower Austria
2100,Korneuburg,Lower Austria
2102,Bisamberg,Lower Austria
2103,Langenzersdorf,Lower Austria
2104,Spillern,Lower Austria
2105,Oberrohrbach,Lower Austria
2111,Rückersdorf-Harmannsdorf,Lower Austria
2112,Würnitz,Lower Austria
2113,Karnabrunn,Lower Austria
2114,Großrußbach,Lower Austria
2115,Ernstbrunn,Lower Austria
2116,Niederleis,Lower Austria
2120,Wolkersdorf im Weinviertel,Lower Austria
2122,Ulrichskirchen,Lower Austria
2123,Schleinbach,Lower Austria
2124,Niederkreuzstetten,Lower Austria
2125,Neubau,Lower Austria
2126,Ladendorf,Lower Austria
2130,Mistelbach,Lower Austria
2132,Frättingsdorf,Lower Austria
2133,Loosdorf,Lower Austria
2134,Staatz-Kautendorf,Lower Austria
2135, "Neudorf im Weinviertel",Lower Austria
2136, "Laa an der Thaya",Lower Austria
2141,Ameis,Lower Austria
2143,Großkrut,Lower Austria
2144,Altlichtenwarth,Lower Austria
2145,Hausbrunn,Lower Austria
2151,Asparn an der Zaya,Lower Austria
2152,Gnadendorf,Lower Austria
2153,Stronsdorf,Lower Austria
2154,Unterstinkenbrunn,Lower Austria
2161,Poysbrunn,Lower Austria
2162,Falkenstein,Lower Austria
2163,Ottenthal,Lower Austria
2164,Wildendürnbach,Lower Austria
2165,Drasenhofen,Lower Austria
2170,Poysdorf,Lower Austria
2171,Herrnbaumgarten,Lower Austria
2172,Schrattenberg,Lower Austria
2181,Dobermannsdorf,Lower Austria
2182,Palterndorf,Lower Austria
2183,Neusiedl an der Zaya,Lower Austria
2184,Hauskirchen,Lower Austria
2185, "Prinzendorf an der Zaya",Lower Austria
2191,Gaweinstal,Lower Austria
2192,Kettlasbrunn,Lower Austria
2193,Wilfersdorf,Lower Austria
2201,Gerasdorf,Lower Austria
2202,Enzersfeld,Lower Austria
2203,Großebersdorf,Lower Austria
2211,Pillichsdorf,Lower Austria
2212,Großengersdorf,Lower Austria
2213,Bockfließ,Lower Austria
2214,Auersthal,Lower Austria
2215,Raggendorf,Lower Austria
2221,Groß Schweinbarth,Lower Austria
2222,Bad Pirawarth,Lower Austria
2223,Hohenruppersdorf,Lower Austria
2224,Obersulz,Lower Austria
2225,Zistersdorf,Lower Austria
2230,Gänserndorf,Lower Austria
2231,Strasshof an der Nordbahn,Lower Austria
2232,Deutsch Wagram,Lower Austria
2241,Schönkirchen,Lower Austria
2242,Prottes,Lower Austria
2243,Matzen,Lower Austria
2244,Spannberg,Lower Austria
2245,Velm-Götzendorf,Lower Austria
2251,Ebenthal,Lower Austria
2252,Ollersdorf,Lower Austria
2253,Weikendorf,Lower Austria
2261,Angern an der March,Lower Austria
2262,Stillfried,Lower Austria
2263,Dürnkrut,Lower Austria
2264,Jedenspeigen,Lower Austria
2265,Drösing,Lower Austria
2272,Niederabsdorf,Lower Austria
2273,Hohenau an der March,Lower Austria
2274,Rabensburg,Lower Austria
2275,Bernhardsthal,Lower Austria
2276,Reintal,Lower Austria
2280,Glinzendorf,Lower Austria
2281,Raasdorf,Lower Austria
2282,Markgrafneusiedl,Lower Austria
2283,Obersiebenbrunn,Lower Austria
2284,Untersiebenbrunn,Lower Austria
2285,Leopoldsdorf im Marchfelde,Lower Austria
2286,Haringsee,Lower Austria
2291,Lassee,Lower Austria
2292,Engelhartstetten,Lower Austria
2293,Marchegg Stadt,Lower Austria
2294,Marchegg Bahnhof,Lower Austria
2295,Oberweiden,Lower Austria
2301,Groß-Enzersdorf,Lower Austria
2301,Groß-Enzersdorf,Lower Austria
2304,Orth an der Donau",Lower Austria
2305,Eckartsau,Lower Austria
2320,Schwechat,Lower Austria
2322,Zwölfaxing,Lower Austria
2325,Himberg,Lower Austria
2326,Maria Lanzendorf,Lower Austria
2331,Vösendorf,Lower Austria
2332,Hennersdorf,Lower Austria
2333,Leopoldsdorf,Lower Austria
2334,Vösendorf,Lower Austria
2340,Mödling,Lower Austria
2344,Maria Enzersdorf,Lower Austria
2345,Brunn am Gebirge,Lower Austria
2351,Wiener Neudorf,Lower Austria
2352,Gumpoldskirchen,Lower Austria
2353,Guntramsdorf,Lower Austria
2361,Laxenburg,Lower Austria
2362,Biedermannsdorf,Lower Austria
2371,Hinterbrühl,Lower Austria
2372,Gießhübl,Lower Austria
2380,Perchtoldsdorf,Lower Austria
2381,Laab im Walde,Lower Austria
2384,Breitenfurt bei Wien,Lower Austria
2391,Kaltenleutgeben,Lower Austria
2392,Sulz im Wienerwald,Lower Austria
2393,Sittendorf,Lower Austria
2401,Fischamend,Lower Austria
2402,Maria Ellend,Lower Austria
2403,Regelsbrunn,Lower Austria
2404,Petronell,Lower Austria
2405,Bad Deutsch Altenburg,Lower Austria
2410,Hainburg an der Donau,Lower Austria
2412,Wolfsthal,Lower Austria
2413,Berg,Lower Austria
2421,Kittsee,Burgenland
2422,Pama,Burgenland
2423,Deutsch Jahrndorf,Burgenland
2424,Zurndorf,Burgenland
2425,Nickelsdorf,Burgenland
2431,Kleinneusiedl,Lower Austria
2432,Schwadorf,Lower Austria
2433,Margarethen am Moos,Lower Austria
2434,Götzendorf an der Leitha,Lower Austria
2435,Ebergassing,Lower Austria
2440,Gramatneusiedl,Lower Austria
2441,Mitterndorf an der Fischa,Lower Austria
2442,Unterwaltersdorf,Lower Austria
2443,Deutsch-Brodersdorf,Lower Austria
2444,Seibersdorf,Lower Austria
2451,Hof am Leithaberge,Lower Austria
2452,Mannersdorf am Leithagebirge,Lower Austria
2453,Sommerein,Lower Austria
2454,Trautmannsdorf an der Leitha",Lower Austria
2460,Bruck an der Leitha",Lower Austria
2462,Wilfleinsdorf,Lower Austria
2463,Stixneusiedl,Lower Austria
2464,Göttlesbrunn,Lower Austria
2465,Höflein,Lower Austria
2471,Rohrau,Lower Austria
2472,Prellenkirchen,Lower Austria
2473,Potzneusiedl,Burgenland
2474,Gattendorf,Burgenland
2475,Neudorf,Burgenland
2481,Achau,Lower Austria
2482,Münchendorf,Lower Austria
2483,Ebreichsdorf,Lower Austria
2485,Wampersdorf,Lower Austria
2486,Pottendorf,Lower Austria
2490,Ebenfurth,Lower Austria
2491,Neufeld an der Leitha,Burgenland
2492,Eggendorf,Lower Austria
2493,Lichtenwörth-Nadelburg,Lower Austria
2500,Baden,Lower Austria
2504,Sooß,Lower Austria
2511,Pfaffstätten,Lower Austria
2512,Tribuswinkel,Lower Austria
2514,Traiskirchen,Lower Austria
2521,Trumau,Lower Austria
2522,Oberwaltersdorf,Lower Austria
2523,Tattendorf,Lower Austria
2524,Teesdorf,Lower Austria
2525,Günselsdorf,Lower Austria
2531,Gaaden,Lower Austria
2532,Heiligenkreuz im Wienerwald,Lower Austria
2533,Klausen-Leopoldsdorf,Lower Austria
2534,Alland,Lower Austria
2540,Bad Vöslau,Lower Austria
2542,Kottingbrunn,Lower Austria
2544,Leobersdorf,Lower Austria
2551,Enzesfeld-Lindabrunn,Lower Austria
2552,Hirtenberg,Lower Austria
2560,Berndorf,Lower Austria
2563,Pottenstein,Lower Austria
2564,Weissenbach an der Triesting,Lower Austria
2565,Neuhaus,Lower Austria
2571,Altenmarkt-Thenneberg,Lower Austria
2572,Kaumberg,Lower Austria
2601,Sollenau,Lower Austria
2602,Blumau-Neurißhof,Lower Austria
2603,Felixdorf,Lower Austria
2604,Theresienfeld,Lower Austria
2620,Neunkirchen,Lower Austria
2624,Breitenau,Lower Austria
2625,Schwarzau am Steinfelde,Lower Austria
2630,Ternitz,Lower Austria
2631,Sieding-Stixenstein,Lower Austria
2632,Wimpassing im Schwarzatale,Lower Austria
2640,Gloggnitz,Lower Austria
2641,Schottwien,Lower Austria
2650,Payerbach,Lower Austria
2651,Reichenau an der Rax,Lower Austria
2654,Prein an der Rax,Lower Austria
2661,Naßwald,Lower Austria
2662,Schwarzau im Gebirge,Lower Austria
2663,Rohr im Gebirge,Lower Austria
2671,Küb,Lower Austria
2673,Breitenstein,Lower Austria
2680,Semmering,Lower Austria
2700,Wiener Neustadt,Lower Austria
2721,Bad Fischau,Lower Austria
2722,Winzendorf,Lower Austria
2723,Muthmannsdorf,Lower Austria
2724,Hohe Wand-Stollhof,Lower Austria
2731,St. Egyden am Steinfeld,Lower Austria
2732,Willendorf,Lower Austria
2733,Grünbach am Schneeberg,Lower Austria
2734,Puchberg am Schneeberg,Lower Austria
2751,Steinabrückl,Lower Austria
2752,Wöllersdorf,Lower Austria
2753,Markt Piesting,Lower Austria
2754,Waldegg,Lower Austria
